Anonymisation,NHICcode,dataItem
Direct identifier,NIHR_HIC_ICU_0001,PAS number
Direct identifier,NIHR_HIC_ICU_0002,Site code (ICNARC CMP number)
Direct identifier,NIHR_HIC_ICU_0005,Critical care local identifier / ICNARC admission number
Direct identifier,NIHR_HIC_ICU_0073,NHS number
Direct identifier,NIHR_HIC_ICU_0100,Transferring unit admission number
Direct identifier,NIHR_HIC_ICU_0101,Transferring unit identifier (in)
Direct identifier, NIHR_HIC_ICU_0033,Date of birth
Key variable (categorical),NIHR_HIC_ICU_0003,Code of GP
Key variable (categorical),NIHR_HIC_ICU_0076,Postcode
Key variable (categorical),NIHR_HIC_ICU_0093,Sex
Key variable (categorical),NIHR_HIC_ICU_0058,Ethnicity
Key variable (continuous),,Age
Date-time variable, NIHR_HIC_ICU_0032,Date of admission to your hospital
Date-time variable, NIHR_HIC_ICU_0034,Date of last critical care visit prior to this admission to your unit
Date-time variable, NIHR_HIC_ICU_0035,Date of original admission to/attendance at acute hospital
Date-time variable, NIHR_HIC_ICU_0036,Date of original admission to ICU/HDU
Date-time variable, NIHR_HIC_ICU_0037,Date of ultimate discharge from ICU/HDU
Date-time variable, NIHR_HIC_ICU_0042,Date of death on your unit
Date-time variable, NIHR_HIC_ICU_0044,Date of declaration of brain stem death
Date-time variable, NIHR_HIC_ICU_0050,Date fully ready for discharge
Date-time variable, NIHR_HIC_ICU_0051,Time fully ready for discharge
Date-time variable, NIHR_HIC_ICU_0406,Date of discharge from your hospital
Date-time variable, NIHR_HIC_ICU_0408,Date of ultimate discharge from your hospital
Date-time variable, NIHR_HIC_ICU_0411,Date & Time of admission to your unit
Date-time variable, NIHR_HIC_ICU_0412,Date & Time of discharge from your unit
Key variable (continuous),NIHR_HIC_ICU_0017,Height
Non-identifying,NIHR_HIC_ICU_0018,Height (Source)
Key variable (continuous),NIHR_HIC_ICU_0019,Weight
Non-identifying,NIHR_HIC_ICU_0020,Weight (Source)
Sensitive,NIHR_HIC_ICU_0016,Biopsy proven cirrhosis
Sensitive,NIHR_HIC_ICU_0062,HIV/AIDS
Sensitive,NIHR_HIC_ICU_0075,Portal hypertension
Key variable (categorical),NIHR_HIC_ICU_0399,Primary reason for admission to your unit
Key variable (categorical),NIHR_HIC_ICU_0088,Secondary reasons for admission to your unit
Key variable (categorical),NIHR_HIC_ICU_0912,Ultimate primary reason for admission to unit
Key variable (categorical),NIHR_HIC_ICU_0074,Other condition in past medical history
Non-identifying,NIHR_HIC_ICU_0004,Treatment function code
Non-identifying,NIHR_HIC_ICU_0006,CCU bed configuration 02
Non-identifying,NIHR_HIC_ICU_0007,Level 2 (HDU) days
